,organisation,alternative name,records lost,year,breach_date,story,sector,method,interesting story,data sensitivity,displayed records,source name,1st source link,2nd source link,ID,organisation_lower,Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,article_date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
4171,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-22,Daily Mail,"How much is YOUR data worth? In wake of Facebook's massive privacy scandal, experts say login details sell for just $5.20 on the dark web",http://www.dailymail.co.uk/sciencetech/article-5533871/How-Facebook-data-worth-Hackers-sell-dollars.html,True,Facebook
4179,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-20,Washington Post,I worked at Facebook. I know how Cambridge Analytica could have happened.,https://www.washingtonpost.com/opinions/i-worked-at-facebook-i-know-how-cambridge-analytica-could-have-happened/2018/03/20/edc7ef8a-2bc4-11e8-8ad6-fbc50284fce8_story.html,True,Facebook
4185,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-11,New York Times,"In House, Tougher Questions for Zuckerberg",https://www.nytimes.com/2018/04/11/us/politics/zuckerberg-facebook-cambridge-analytica.html,True,Facebook
4221,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-18,Washington Post,Lawmakers demand answers from Facebook after firm connected to Trump campaign obtained data from tens of millions,https://www.washingtonpost.com/news/the-switch/wp/2018/03/18/u-s-and-british-lawmakers-demand-answers-from-facebook-chief-executive-mark-zuckerberg/,True,Facebook
4227,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-21,Washington Post,Let’s take a deep breath about Facebook’s ‘breach of trust’,https://www.washingtonpost.com/opinions/lets-take-a-deep-breath-about-facebooks-breach-of-trust/2018/03/21/0d35f750-2d31-11e8-8688-e053ba58f1e4_story.html,True,Facebook
4240,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-10,The Guardian,Mark Zuckerberg  Facebook believed Cambridge Analytica deleted private data,https://www.theguardian.com/us-news/video/2018/apr/10/zuckerberg-facebook-believed-cambridge-analytica-deleted-private-data-video,True,Facebook
4243,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-27,Daily Mail,Mark Zuckerberg WILL testify to Congress on Facebook data scandal 'within weeks' after mounting pressure from both parties,http://www.dailymail.co.uk/news/article-5550273/Mark-Zuckerberg-testify-Congress-Facebook-data-scandal-weeks.html,True,Facebook
4244,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-04,Daily Mail,Mark Zuckerberg admits Facebook scans the contents of ALL your private Messenger texts in the latest blow to the scandal hit firm,http://www.dailymail.co.uk/sciencetech/article-5578619/Facebook-scans-contents-private-Messenger-texts.html,True,Facebook
4246,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-19,Daily Mail,Mark Zuckerberg loses $5 billion after Facebook shares plummet nearly seven percent as the company faces calls around the world to testify over the Cambridge Analytica data scandal,http://www.dailymail.co.uk/news/article-5519009/Facebook-stocks-plummet-Cambridge-Analytica-data-reports.html,True,Facebook
4247,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-19,Daily Mail,Mark Zuckerberg once called Facebook users ‘dumb f***s’ for handing personal data over to him – as firm becomes further embroiled in Cambridge Analytica row,http://www.dailymail.co.uk/sciencetech/article-5518753/Cambridge-Analytica-firm-heart-Facebook-scandal.html,True,Facebook
4249,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-21,Washington Post,Mark Zuckerberg says Facebook will audit thousands of apps after ‘breach of trust’,https://www.washingtonpost.com/news/the-switch/wp/2018/03/21/mark-zuckerberg-says-facebook-will-audit-thousands-of-apps-after-breach-of-trust/,True,Facebook
4250,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-05-16,New York Times,Mark Zuckerberg to Meet European Parliament Members Over Facebook’s Data Use,https://www.nytimes.com/2018/05/16/technology/zuckerberg-europe-data-cambridge-analytica.html,True,Facebook
4254,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-11,USA Today,Mark Zuckerberg's data exposed in Cambridge Analytica leak,https://www.usatoday.com/story/tech/2018/04/11/facebook-ceo-mark-zuckerberg-says-his-data-exposed-cambridge-analytica-leak/506700002/,True,Facebook
4255,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-26,Daily Mail,Mark Zuckerberg's losses on Facebook data scandal hit $10 BILLION as Federal Trade Commission say they are investigating network's privacy breaches,http://www.dailymail.co.uk/news/article-5545585/Federal-Trade-Commission-investigate-Facebook-privacy.html,True,Facebook
4260,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-19,CNBC,"Meet Christopher Wylie, the millennial whistleblower behind Facebook’s data controversy",https://www.cnbc.com/2018/03/19/4-facts-about-facebook-data-whistleblower-christopher-wylie.html,True,Facebook
4262,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-17,The Guardian,Meet the data whistleblower       I created Steve Bannon’s psychological warfare tool,https://www.theguardian.com/news/2018/mar/17/data-war-whistleblower-christopher-wylie-faceook-nix-bannon-trump,True,Facebook
4276,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-22,Daily Mail,Mozilla suspends ads on Facebook over data privacy concerns,http://www.dailymail.co.uk/news/article-5531577/Mozilla-suspends-ads-Facebook-data-privacy-concerns.html,True,Facebook
4293,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-05-10,New York Post,"New Facebook Messenger bug installs itself, steals your passwords",https://nypost.com/2018/05/10/new-facebook-messenger-bug-installs-itself-steals-your-password/,True,Facebook
4302,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-06,The Guardian,News of Facebook's secret tool to delete executive messages caps days of chaos,https://www.theguardian.com/technology/2018/apr/06/facebook-using-secret-tool-to-delete-messages-from-executives,True,Facebook
4304,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-18,The Guardian,No one can pretend Facebook is just harmless fun any more,https://www.theguardian.com/commentisfree/2018/mar/18/facebook-extremist-content-user-data,True,Facebook
4305,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-18,New York Times,On Facebook and Cambridge Analytica’s Secrets (Nov. 2016),https://www.nytimes.com/2016/11/20/opinion/cambridge-analytica-facebook-quiz.html,True,Facebook
4316,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-30,Washington Post,Perspective: Facebook gathered us all together — and then set a four-alarm dumpster fire,https://www.washingtonpost.com/news/business/wp/2018/03/30/facebook-gathered-us-all-together-and-then-set-a-four-alarm-dumpster-fire/?utm_term=.f80ffeafd3b2,True,Facebook
4337,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-05-10,Daily Mail,"REVEALED: The 3,500 ads Russian troll factory placed on Facebook to 'cause division' - including backing for Sean Hannity, Bernie Sanders, pro-Trump rallies AND Black Lives Matter",http://www.dailymail.co.uk/news/article-5714045/Lawmakers-release-thousands-Russian-Facebook-ads.html,True,Facebook
4340,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-21,USA Today,Read Zuckerberg's first statement on Facebook data scandal,https://www.usatoday.com/story/tech/news/2018/03/21/read-facebook-ceo-mark-zuckerbergs-first-statement-cambridge-analytica-data-scandal/446863002/,True,Facebook
4343,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-27,FOX,Rep. Blackburn: Mark 'universal income' Zuckerberg made billions selling Americans' info,http://insider.foxnews.com/2018/03/27/marsha-blackburn-mark-universal-income-zuckerberg-should-testify-privacy-scandal,True,Facebook
4345,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-08,CNBC,Republican senator says Facebook scandals may be 'too big' for company to fix alone                              Reuters 4 Hours Ago,https://www.cnbc.com/2018/04/08/senator-says-facebook-scandals-may-be-too-big-for-them-to-fix-alone.html,True,Facebook
4347,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-17,The Guardian,Revealed  50m Facebook profiles harvested in major data breach,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election,True,Facebook
4363,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-05-10,The Guardian,Russian Facebook ads hit hot-button US issues,https://www.theguardian.com/us-news/2018/may/10/russia-facebook-ads-us-elections-congress,True,Facebook
4372,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-08,Washington Post,SNL,https://www.washingtonpost.com/news/arts-and-entertainment/wp/2018/04/08/snl-pokes-at-mark-zuckerberg-and-the-sheer-creepiness-of-the-cambridge-analytic-breach/,True,Facebook
4377,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-05-06,New York Times,Scholars Have Data on Millions of Facebook Users. Who’s Guarding It?,https://www.nytimes.com/2018/05/06/technology/facebook-information-data-sets-academics.html,True,Facebook
4383,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-10,USA Today,Senators to Zuckerberg: We may need to regulate Facebook,https://www.usatoday.com/story/news/politics/2018/04/10/zuckerberg-faces-senators-explain-facebook-data-breaches/502448002/,True,Facebook
4388,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-10,The Guardian,Share your story Tell us how you've been affected,https://www.theguardian.com/technology/2018/apr/09/tell-us-how-youve-been-affected-by-the-facebook-data-breach,True,Facebook
4389,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-29,The Guardian,Sheryl Sandberg  Facebook business chief leans out of spotlight in scandal,https://www.theguardian.com/technology/2018/mar/29/sheryl-sandberg-facebook-cambridge-analytica,True,Facebook
4407,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-22,The Guardian,Steve Bannon on Cambridge Analytica  'Facebook data is for sale all over the world',https://www.theguardian.com/us-news/2018/mar/22/steve-bannon-on-cambridge-analytica-facebook-data-is-for-sale-all-over-the-world,True,Facebook
4416,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-05-17,USA Today,Talking Tech                      That royal wedding quiz on Facebook could put you at risk for identity theft,https://www.usatoday.com/story/tech/talkingtech/2018/05/17/facebook-royal-wedding-quiz-could-lead-identity-theft-so-skip/620944002/,True,Facebook
4417,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-23,USA Today,Talking Tech              Cambridge researcher blasts Facebook's 'PR spin',https://www.usatoday.com/story/tech/talkingtech/2018/04/23/facebook-data-scandal-researcher-said-company-response-just-pr-spin/541826002/,True,Facebook
4420,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-18,USA Today,Tech                                              Facebook faces backlash over political firm's access,https://www.usatoday.com/story/tech/2018/03/18/facebook-cambridge-analytica/436373002/,True,Facebook
4422,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-05-10,USA Today,Tech                      Congress releases thousands of Facebook ads Russians bought to fool U.S. voters,https://www.usatoday.com/story/tech/2018/05/10/thousands-russian-bought-facebook-social-media-ads-released-congress/849959001/,True,Facebook
4424,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-04-30,USA Today,Tech                      WhatsApp CEO leaves Facebook after Cambridge Analytica,https://www.usatoday.com/story/tech/2018/04/30/whatsapp-ceo-jan-koum-leaving-facebook-after-cambridge-analytica/566804002/,True,Facebook
4425,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-03-21,USA Today,Tech                      Zuckerberg breaks silence on Cambridge Analytica,https://www.usatoday.com/story/tech/2018/03/21/facebook-ceo-mark-zuckerberg-finally-speaks-cambridge-analytica-we-need-fix-breach-trust/445791002/,True,Facebook
4440,Facebook,,50000000,2018,2018-03-01,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",web,hacked,y,1.0,"50,000,000",Guardian,https://www.theguardian.com/news/2018/mar/17/cambridge-analytica-facebook-influence-us-election?CMP=twt_gu,,290,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2018-05-18,CNBC,That Facebook royal wedding quiz? It could put you at risk for identity theft,https://www.cnbc.com/2018/05/18/facebook-royal-wedding-quiz-could-put-you-at-risk-for-identity-theft.html,True,Facebook
