,organisation,records lost,year,breach_date,sector,method,data sensitivity,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,number of articles
172,UbiSoft,58000000,2013,2013-07-01,gaming,hacked,2.0,ubisoft,ubisoftgroup.com,1986.0,computer games,10001+,"bois, nouvelle-aquitaine, france",france,linkedin.com/company/ubisoft,6192.0,17182.0,1
53,Epik,15000000,2021,2021-09-01,retail,hacked,5.0,epik,makeitepik.com,2014.0,design,1 - 10,"petaling jaya, selangor, malaysia",united kingdom,linkedin.com/company/epik,1.0,2.0,2
36,Community Health Systems,4500000,2014,2014-08-01,health ,hacked,2.0,community health systems,chs.net,1985.0,hospital & health care,5001 - 10000,"franklin, tennessee, united states",united states,linkedin.com/company/community-health-systems,4802.0,9446.0,2
28,CarPhone Warehouse,2400000,2015,2015-08-01,telecoms,hacked,3.0,carphone warehouse,carphonewarehouse.com,1989.0,retail,1001 - 5000,"london, greater london, united kingdom",united kingdom,linkedin.com/company/carphone-warehouse,1567.0,9190.0,2
23,British Airways,10000,2015,2015-03-01,transport,hacked,1.0,british airways,ba.com,1919.0,airlines/aviation,10001+,"hayes, hillingdon, united kingdom",united kingdom,linkedin.com/company/british-airways,13648.0,30815.0,2
163,UCLA Health,4500000,2015,2015-05-01,health ,hacked,4.0,ucla health,0,1955.0,hospital & health care,10001+,"los angeles, california, united states",united states,linkedin.com/company/ucla-health,5443.0,11527.0,2
139,Sony Pictures,10000000,2014,2014-12-01,misc,hacked,2.0,sony pictures,0,0.0,entertainment,1 - 10,0,0,linkedin.com/company/toro-tv.---sony-pictures-espa-a,3.0,23.0,2
143,Staples,1160000,2014,2014-12-01,retail,hacked,3.0,staples,staples.com,1986.0,business supplies and equipment,10001+,"framingham, massachusetts, united states",united states,linkedin.com/company/staples,13400.0,49487.0,2
121,Quest Diagnostics,20000000,2019,2019-06-01,health ,poor security,4.0,quest diagnostics,questdiagnostics.com,1967.0,hospital & health care,10001+,"madison, new jersey, united states",united states,linkedin.com/company/quest-diagnostics,10784.0,22332.0,2
88,JP Morgan Chase,76000000,2014,2014-10-01,finance,hacked,3.0,jp morgan chase,0,0.0,banking,11 - 50,0,0,linkedin.com/company/jp-morgan-chase,11.0,39.0,2
75,Grindr,3000000,2018,2018-03-01,app,poor security,3.0,grindr,grindr.com,2009.0,computer software,51 - 200,"los angeles, california, united states",united states,linkedin.com/company/grindr,86.0,230.0,2
46,Dropbox,68700000,2012,2016-08-01,web,hacked,1.0,dropbox,dropbox.com,2007.0,internet,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/dropbox,1600.0,2816.0,3
159,Twitch,10000000,2021,2021-10-01,gaming,hacked,4.0,twitch,twitch.tv,2007.0,internet,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/twitch-tv,1646.0,2097.0,3
165,UPS,4000000,2014,2014-08-01,retail,hacked,3.0,ups,ups.com,1907.0,transportation/trucking/railroad,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/ups,59712.0,132381.0,3
125,Robinhood,5000937,2021,2021-11-01,financial,hacked,2.0,robinhood,robinhood.com,2012.0,financial services,201 - 500,"palo alto, california, united states",united states,linkedin.com/company/robinhood,159.0,248.0,3
106,MyHeritage,92283889,2018,2018-06-01,web,hacked,1.0,myheritage,myheritage.com,2003.0,internet,501 - 1000,"or yehuda, tel aviv, israel",israel,linkedin.com/company/myheritage,219.0,377.0,3
57,Evernote,50000000,2013,2013-03-01,web,hacked,1.0,evernote,evernote.com,2006.0,computer software,501 - 1000,"redwood city, california, united states",united states,linkedin.com/company/evernote,332.0,818.0,3
4,AT&T,114000,2010,2010-06-01,telecoms,hacked,1.0,at&t,att.com,1876.0,telecommunications,10001+,"dallas, texas, united states",united states,linkedin.com/company/at&t,115188.0,269659.0,3
184,Wawa,30000000,2019,2019-12-01,retail,hacked,3.0,wawa,wawa.fr,0.0,internet,51 - 200,0,0,linkedin.com/company/sam-elka,30.0,33.0,4
44,DoorDash,4900000,2019,2019-09-01,transport,hacked,2.0,doordash,doordash.com,2013.0,internet,1001 - 5000,"san francisco, california, united states",united states,linkedin.com/company/doordash,971.0,1633.0,4
24,British Airways,380000,2018,2018-09-01,transport,hacked,4.0,british airways,ba.com,1919.0,airlines/aviation,10001+,"hayes, hillingdon, united kingdom",united kingdom,linkedin.com/company/british-airways,13648.0,30815.0,4
93,LinkedIn,117000000,2016,2016-05-01,web,hacked,1.0,linkedin,linkedin.com,2003.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/linkedin,36309.0,43622.0,4
3,AOL,2400000,2014,2014-04-01,web,hacked,1.0,aol,aol.com,1985.0,internet,5001 - 10000,"new york, new york, united states",united states,linkedin.com/company/aol,2616.0,21458.0,4
161,Twitter,5400000,2021,2021-12-01,web,hacked,2.0,twitter,twitter.com,2006.0,internet,5001 - 10000,"san francisco, california, united states",united states,linkedin.com/company/twitter,4813.0,8985.0,4
162,Twitter,330000000,2018,2018-05-01,tech,poor security,1.0,twitter,twitter.com,2006.0,internet,5001 - 10000,"san francisco, california, united states",united states,linkedin.com/company/twitter,4813.0,8985.0,4
170,Uber,50000,2015,2015-02-01,"tech, app",poor security,1.0,uber,uber.com,2009.0,internet,10001+,"san francisco, california, united states",united states,linkedin.com/company/uber-com,22415.0,36867.0,5
54,Epsilon,3000000,2011,2011-04-01,web,hacked,1.0,epsilon,epsilon.com,1969.0,marketing and advertising,5001 - 10000,"irving, texas, united states",united states,linkedin.com/company/epsilon,4408.0,8817.0,5
7,Adobe,38000000,2013,2013-10-01,tech,hacked,3.0,adobe,adobe.com,1982.0,computer software,10001+,"san jose, california, united states",united states,linkedin.com/company/adobe,14176.0,29824.0,6
133,Sega,1290755,2011,2011-06-01,gaming,hacked,2.0,sega,sega.co.jp,1940.0,computer games,501 - 1000,"san francisco, california, united states",united states,linkedin.com/company/sega,334.0,1517.0,6
179,VTech,6400000,2015,2015-12-01,web,hacked,5.0,vtech,vtech.com,1976.0,consumer electronics,1001 - 5000,"beaverton, oregon, united states",united states,linkedin.com/company/vtech,596.0,1650.0,7
34,Citigroup,210000,2011,2011-06-01,finance,hacked,3.0,citigroup,0,0.0,financial services,1001 - 5000,0,0,linkedin.com/company/citigroup,587.0,1617.0,8
160,Twitter,250000,2013,2013-02-01,web,hacked,1.0,twitter,twitter.com,2006.0,internet,5001 - 10000,"san francisco, california, united states",united states,linkedin.com/company/twitter,4813.0,8985.0,8
147,Stratfor,935000,2011,2011-12-01,military,hacked,3.0,stratfor,stratfor.com,1996.0,information services,51 - 200,"austin, texas, united states",united states,linkedin.com/company/stratfor,70.0,346.0,8
107,NASDAQ,500000,2013,2013-07-01,finance,hacked,1.0,nasdaq,nasdaq.com,1971.0,financial services,5001 - 10000,"new york, new york, united states",united states,linkedin.com/company/nasdaq,3038.0,7553.0,9
136,SnapChat,4600000,2013,2014-01-01,"web, tech",hacked,2.0,snapchat,0,0.0,computer software,11 - 50,0,0,linkedin.com/company/zsrgzdyddutdsutsutss,7.0,11.0,10
74,Google+,52500000,2018,2018-12-01,web,poor security,2.0,google,google.com,1998.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/google,75109.0,131349.0,10
194,Zoom,500000,2020,2020-04-01,app,hacked,1.0,zoom,ebigchina.com,0.0,motion pictures and film,11 - 50,0,0,linkedin.com/company/zoom,16.0,24.0,11
109,Neiman Marcus,1100000,2014,2014-01-01,retail,hacked,2.0,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651.0,15081.0,11
118,Peloton,3000000,2021,2021-05-01,tech,poor security ,2.0,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56.0,154.0,11
188,Yahoo,32000000,2017,2017-03-01,web,hacked,4.0,yahoo,yahoo.com,1994.0,internet,10001+,"sunnyvale, california, united states",united states,linkedin.com/company/yahoo,7072.0,34947.0,12
0,"""Apple""",12367232,2012,2012-03-01,"tech, retail",oops!,2.0,apple,apple.com,1976.0,consumer electronics,10001+,"cupertino, california, united states",united states,linkedin.com/company/apple,90095.0,179531.0,14
84,IRS,100000,2015,2015-05-01,government,hacked,1.0,irs,0,0.0,market research,201 - 500,0,0,linkedin.com/company/irs1,102.0,137.0,15
137,SolarWinds,50000000,2020,2020-12-01,app,hacked,3.0,solarwinds,solarwinds.com,1999.0,computer software,1001 - 5000,"austin, texas, united states",united states,linkedin.com/company/solarwinds,1333.0,2886.0,17
9,Amazon,5000000,2018,2018-11-01,retail,oops!,1.0,amazon,amazon.com,1994.0,internet,10001+,"seattle, washington, united states",united states,linkedin.com/company/amazon,93247.0,161866.0,18
12,Apple,275000,2013,2013-07-01,"web, tech",hacked,1.0,apple,apple.com,1976.0,consumer electronics,10001+,"cupertino, california, united states",united states,linkedin.com/company/apple,90095.0,179531.0,19
49,Ebay,145000000,2014,2014-05-01,web,hacked,1.0,ebay,ebayinc.com,1995.0,internet,10001+,"san jose, california, united states",united states,linkedin.com/company/ebay,10115.0,26752.0,19
190,Yahoo,550000000,2013,2016-12-01,web,hacked,2.0,yahoo,yahoo.com,1994.0,internet,10001+,"sunnyvale, california, united states",united states,linkedin.com/company/yahoo,7072.0,34947.0,21
171,Uber,57000000,2017,2017-11-01,app,hacked,1.0,uber,uber.com,2009.0,internet,10001+,"san francisco, california, united states",united states,linkedin.com/company/uber-com,22415.0,36867.0,23
27,Capital One,100000000,2019,2019-07-01,finance,hacked,3.0,capital one,capitalone.com,1994.0,financial services,10001+,"mclean, virginia, united states",united states,linkedin.com/company/capital-one,27522.0,62144.0,26
63,Facebook,533000000,2021,2021-03-01,tech,hacked,1.0,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,28
62,Facebook,419000000,2019,2019-09-01,web,poor security,2.0,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,34
59,Facebook,6000000,2013,2013-06-01,web,oops!,1.0,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,35
81,Home Depot,56000000,2014,2014-09-01,retail,hacked,3.0,home depot,0,0.0,construction,10001+,0,0,linkedin.com/company/home-depot-at-home-services,9756.0,19207.0,41
189,Yahoo,500000000,2016,2016-09-01,web,hacked,2.0,yahoo,yahoo.com,1994.0,internet,10001+,"sunnyvale, california, united states",united states,linkedin.com/company/yahoo,7072.0,34947.0,44
60,Facebook,29000000,2018,2018-10-01,web,hacked,2.0,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,96
153,Target,70000000,2013,2013-12-01,retail,hacked,3.0,target,target.com,1962.0,retail,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/target,60602.0,204360.0,141
55,Equifax,143000000,2017,2017-09-01,finance,hacked,4.0,equifax,equifax.com,1899.0,financial services,5001 - 10000,"atlanta, georgia, united states",united states,linkedin.com/company/equifax,4415.0,11328.0,163
61,Facebook,50000000,2018,2018-03-01,web,hacked,1.0,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149.0,49059.0,208
