,year,corpName,breachType,numRecords,industry,numCustomers,numEmployees,recordType,sensitivity
10587,2018,Apple,Ransomware,447331,Healthcare,,,,
11657,2018,Apple,Physical Breach,728179,Finance,,,,
128,2019,Apple,Physical Breach,595587,Technology,,,,
590,2019,Apple,Ransomware,617029,Technology,,,,
1144,2019,Apple,Ransomware,447381,Technology,,,,
2662,2019,Apple,DDoS Attack,15097,Technology,,,,
3210,2019,Apple,Insider Threat,429020,Technology,,,,
4246,2019,Apple,DDoS Attack,715558,Technology,,,,
5074,2019,Apple,Malware,293444,Technology,,,,
5459,2019,Apple,Phishing,768291,Technology,,,,
7934,2019,Apple,Physical Breach,98895,Technology,,,,
7973,2019,Apple,Phishing,639460,Technology,,,,
8779,2019,Apple,Physical Breach,920413,Technology,,,,
8969,2019,Apple,DDoS Attack,710584,Technology,,,,
9349,2019,Apple,Ransomware,709816,Technology,,,,
9359,2019,Apple,Malware,559250,Technology,,,,
11067,2019,Apple,Password Guessing,395464,Government,,,,
11619,2019,Apple,Ransomware,494493,Finance,,,,
11770,2019,Apple,Malware,522208,Government,,,,
11908,2019,Apple,Phishing,240955,Technology,,,,
40,2020,Apple,Insider Threat,891136,Technology,,,,
1174,2020,Apple,Physical Breach,537174,Technology,,,,
3801,2020,Apple,DDoS Attack,945813,Technology,,,,
5053,2020,Apple,Password Guessing,9937,Technology,,,,
5945,2020,Apple,Malware,205439,Technology,,,,
7419,2020,Apple,Malware,27845,Technology,,,,
8095,2020,Apple,Phishing,85123,Technology,,,,
10811,2020,Apple,Physical Breach,977372,Retail,,,,
2380,2021,Apple,Ransomware,627301,Technology,,,,
4620,2021,Apple,Phishing,98773,Technology,,,,
5213,2021,Apple,Malware,470171,Technology,,,,
6167,2021,Apple,Ransomware,507898,Technology,,,,
7573,2021,Apple,Ransomware,288955,Technology,,,,
7891,2021,Apple,DDoS Attack,277160,Technology,,,,
10866,2021,Apple,Phishing,758298,Government,,,,
10977,2021,Apple,Malware,423261,Healthcare,,,,
11389,2021,Apple,Phishing,320386,Healthcare,,,,
3703,2022,Apple,Phishing,958249,Technology,,,,
4868,2022,Apple,Malware,321165,Technology,,,,
6051,2022,Apple,Insider Threat,585404,Technology,,,,
7258,2022,Apple,DDoS Attack,480176,Technology,,,,
7729,2022,Apple,Insider Threat,364840,Technology,,,,
7874,2022,Apple,Physical Breach,941370,Technology,,,,
8609,2022,Apple,DDoS Attack,660839,Technology,,,,
8632,2022,Apple,Password Guessing,194358,Technology,,,,
9426,2022,Apple,Password Guessing,140624,Technology,,,,
10088,2022,Apple,Phishing,649871,Technology,,,,
11111,2022,Apple,Physical Breach,507578,Finance,,,,
11467,2022,Apple,Insider Threat,141610,Government,,,,
11677,2022,Apple,Password Guessing,567250,Government,,,,
1561,2023,Apple,Insider Threat,94806,Technology,,,,
1607,2023,Apple,Malware,567619,Technology,,,,
1916,2023,Apple,DDoS Attack,830398,Technology,,,,
2471,2023,Apple,Insider Threat,928569,Technology,,,,
3473,2023,Apple,Physical Breach,347535,Technology,,,,
3750,2023,Apple,DDoS Attack,995064,Technology,,,,
4025,2023,Apple,Malware,849303,Technology,,,,
5154,2023,Apple,Phishing,968324,Technology,,,,
5910,2023,Apple,Phishing,248851,Technology,,,,
5969,2023,Apple,Password Guessing,453232,Technology,,,,
6514,2023,Apple,Physical Breach,146349,Technology,,,,
8876,2023,Apple,Password Guessing,559304,Technology,,,,
9377,2023,Apple,Password Guessing,749677,Technology,,,,
9539,2023,Apple,DDoS Attack,18920,Technology,,,,
10886,2023,Apple,DDoS Attack,971970,Healthcare,,,,
11052,2023,Apple,Phishing,392701,Retail,,,,
11326,2023,Apple,Physical Breach,43597,Healthcare,,,,
12014,2023,Apple,Password Guessing,906802,Technology,,,,
719,2024,Apple,Ransomware,314710,Technology,,,,
4120,2024,Apple,Physical Breach,663190,Technology,,,,
4490,2024,Apple,Insider Threat,584859,Technology,,,,
4769,2024,Apple,Password Guessing,913221,Technology,,,,
5890,2024,Apple,Password Guessing,797698,Technology,,,,
7475,2024,Apple,Malware,680530,Technology,,,,
10113,2024,Apple,Phishing,997537,Healthcare,,,,
11875,2024,Apple,DDoS Attack,725429,Healthcare,,,,
11910,2024,Apple,Ransomware,849284,Government,,,,
332,2000,Ascension,DDoS Attack,453195,Healthcare,,,,
800,2000,Ascension,Ransomware,171666,Healthcare,,,,
851,2000,Ascension,Phishing,600569,Healthcare,,,,
976,2000,Ascension,DDoS Attack,60646,Healthcare,,,,
2821,2000,Ascension,Ransomware,209716,Healthcare,,,,
3348,2000,Ascension,Physical Breach,420370,Healthcare,,,,
10826,2000,Ascension,Insider Threat,399620,Technology,,,,
12348,2000,Ascension,Physical Breach,546749,Retail,,,,
2628,2001,Ascension,Physical Breach,928713,Healthcare,,,,
3164,2001,Ascension,Password Guessing,347293,Healthcare,,,,
3709,2001,Ascension,Password Guessing,37893,Healthcare,,,,
5693,2001,Ascension,Ransomware,973111,Healthcare,,,,
5762,2001,Ascension,Ransomware,865984,Healthcare,,,,
5878,2001,Ascension,Physical Breach,525846,Healthcare,,,,
9434,2001,Ascension,Physical Breach,986237,Healthcare,,,,
12212,2001,Ascension,Physical Breach,941340,Technology,,,,
2231,2002,Ascension,DDoS Attack,195379,Healthcare,,,,
5842,2002,Ascension,Insider Threat,475932,Healthcare,,,,
6583,2002,Ascension,Phishing,81757,Healthcare,,,,
7811,2002,Ascension,Password Guessing,791142,Healthcare,,,,
8309,2002,Ascension,Physical Breach,842975,Healthcare,,,,
9466,2002,Ascension,Ransomware,721035,Healthcare,,,,
9621,2002,Ascension,Phishing,781664,Healthcare,,,,
9950,2002,Ascension,Password Guessing,98800,Healthcare,,,,
10799,2002,Ascension,Malware,600528,Technology,,,,
2236,2003,Ascension,Phishing,370070,Healthcare,,,,
4833,2003,Ascension,Password Guessing,62428,Healthcare,,,,
4866,2003,Ascension,Insider Threat,322308,Healthcare,,,,
5827,2003,Ascension,DDoS Attack,22391,Healthcare,,,,
5897,2003,Ascension,Ransomware,941811,Healthcare,,,,
6234,2003,Ascension,Password Guessing,115518,Healthcare,,,,
7587,2003,Ascension,Password Guessing,424927,Healthcare,,,,
8909,2003,Ascension,Malware,909697,Healthcare,,,,
9045,2003,Ascension,Ransomware,253094,Healthcare,,,,
9293,2003,Ascension,Malware,227561,Healthcare,,,,
12274,2003,Ascension,Ransomware,594443,Technology,,,,
69,2004,Ascension,DDoS Attack,94826,Healthcare,,,,
203,2004,Ascension,Phishing,680885,Healthcare,,,,
1942,2004,Ascension,Phishing,34643,Healthcare,,,,
1967,2004,Ascension,Password Guessing,789693,Healthcare,,,,
2319,2004,Ascension,Physical Breach,438420,Healthcare,,,,
3080,2004,Ascension,Malware,666864,Healthcare,,,,
5724,2004,Ascension,DDoS Attack,853509,Healthcare,,,,
6991,2004,Ascension,Physical Breach,770947,Healthcare,,,,
7656,2004,Ascension,Physical Breach,231717,Healthcare,,,,
8410,2004,Ascension,Malware,30262,Healthcare,,,,
10950,2004,Ascension,DDoS Attack,554673,Government,,,,
11330,2004,Ascension,Ransomware,853474,Retail,,,,
351,2005,Ascension,Physical Breach,713197,Healthcare,,,,
7471,2005,Ascension,Malware,120132,Healthcare,,,,
7631,2005,Ascension,Phishing,531000,Healthcare,,,,
8589,2005,Ascension,DDoS Attack,987427,Healthcare,,,,
8661,2005,Ascension,Malware,181256,Healthcare,,,,
9843,2005,Ascension,Ransomware,997983,Healthcare,,,,
10557,2005,Ascension,Ransomware,210796,Finance,,,,
11977,2005,Ascension,Password Guessing,797070,Healthcare,,,,
1301,2006,Ascension,DDoS Attack,906427,Healthcare,,,,
2452,2006,Ascension,DDoS Attack,668854,Healthcare,,,,
3170,2006,Ascension,Physical Breach,961597,Healthcare,,,,
6971,2006,Ascension,Ransomware,189153,Healthcare,,,,
7113,2006,Ascension,Malware,314461,Healthcare,,,,
8454,2006,Ascension,Physical Breach,567195,Healthcare,,,,
9333,2006,Ascension,Ransomware,968206,Healthcare,,,,
11026,2006,Ascension,Ransomware,905101,Retail,,,,
11167,2006,Ascension,Malware,460682,Technology,,,,
11427,2006,Ascension,Ransomware,890619,Finance,,,,
11448,2006,Ascension,Insider Threat,447515,Healthcare,,,,
3491,2007,Ascension,Ransomware,770724,Healthcare,,,,
3572,2007,Ascension,Insider Threat,152394,Healthcare,,,,
4585,2007,Ascension,Ransomware,351180,Healthcare,,,,
10481,2007,Ascension,Physical Breach,646510,Government,,,,
10528,2007,Ascension,Phishing,332788,Government,,,,
10562,2007,Ascension,Malware,35359,Retail,,,,
3494,2008,Ascension,Password Guessing,480570,Healthcare,,,,
8450,2008,Ascension,Password Guessing,402831,Healthcare,,,,
9421,2008,Ascension,Ransomware,324041,Healthcare,,,,
11275,2008,Ascension,Ransomware,662579,Technology,,,,
11779,2008,Ascension,Ransomware,394770,Finance,,,,
12063,2008,Ascension,Ransomware,872157,Healthcare,,,,
12136,2008,Ascension,Insider Threat,284675,Technology,,,,
415,2009,Ascension,Physical Breach,870887,Healthcare,,,,
5461,2009,Ascension,Malware,248963,Healthcare,,,,
5779,2009,Ascension,Ransomware,981934,Healthcare,,,,
7906,2009,Ascension,Malware,387267,Healthcare,,,,
8587,2009,Ascension,Malware,622310,Healthcare,,,,
8618,2009,Ascension,Phishing,113795,Healthcare,,,,
8857,2009,Ascension,Physical Breach,692054,Healthcare,,,,
10961,2009,Ascension,Physical Breach,14138,Healthcare,,,,
1219,2010,Ascension,DDoS Attack,401982,Healthcare,,,,
1231,2010,Ascension,Insider Threat,297376,Healthcare,,,,
1993,2010,Ascension,Physical Breach,274907,Healthcare,,,,
2794,2010,Ascension,DDoS Attack,419739,Healthcare,,,,
3952,2010,Ascension,Insider Threat,805070,Healthcare,,,,
8803,2010,Ascension,Phishing,592983,Healthcare,,,,
8869,2010,Ascension,Insider Threat,419446,Healthcare,,,,
8945,2010,Ascension,Malware,845912,Healthcare,,,,
10684,2010,Ascension,Phishing,491057,Healthcare,,,,
10937,2010,Ascension,DDoS Attack,716399,Finance,,,,
11030,2010,Ascension,Physical Breach,547784,Healthcare,,,,
11437,2010,Ascension,Physical Breach,302061,Government,,,,
4052,2011,Ascension,Malware,238076,Healthcare,,,,
4208,2011,Ascension,Insider Threat,334448,Healthcare,,,,
7183,2011,Ascension,Insider Threat,422555,Healthcare,,,,
7431,2011,Ascension,Password Guessing,747973,Healthcare,,,,
2428,2012,Ascension,Malware,960460,Healthcare,,,,
6150,2012,Ascension,Password Guessing,970002,Healthcare,,,,
6222,2012,Ascension,Ransomware,8361,Healthcare,,,,
12170,2012,Ascension,Physical Breach,98050,Healthcare,,,,
263,2013,Ascension,Ransomware,647781,Healthcare,,,,
570,2013,Ascension,Insider Threat,454515,Healthcare,,,,
588,2013,Ascension,Malware,117123,Healthcare,,,,
1110,2013,Ascension,DDoS Attack,198389,Healthcare,,,,
2420,2013,Ascension,Malware,232746,Healthcare,,,,
3920,2013,Ascension,DDoS Attack,596452,Healthcare,,,,
9569,2013,Ascension,DDoS Attack,999006,Healthcare,,,,
11103,2013,Ascension,DDoS Attack,274287,Retail,,,,
11948,2013,Ascension,Insider Threat,717751,Retail,,,,
2272,2014,Ascension,Phishing,489443,Healthcare,,,,
3760,2014,Ascension,Ransomware,649268,Healthcare,,,,
4592,2014,Ascension,Phishing,292226,Healthcare,,,,
5907,2014,Ascension,DDoS Attack,22062,Healthcare,,,,
7024,2014,Ascension,Phishing,515361,Healthcare,,,,
7188,2014,Ascension,Phishing,721199,Healthcare,,,,
7851,2014,Ascension,Phishing,455479,Healthcare,,,,
8968,2014,Ascension,Insider Threat,862443,Healthcare,,,,
10484,2014,Ascension,Phishing,221747,Retail,,,,
11162,2014,Ascension,Malware,275811,Healthcare,,,,
1532,2015,Ascension,Phishing,726010,Healthcare,,,,
4707,2015,Ascension,Malware,428047,Healthcare,,,,
5088,2015,Ascension,Ransomware,701173,Healthcare,,,,
6773,2015,Ascension,Password Guessing,928051,Healthcare,,,,
9797,2015,Ascension,Phishing,458830,Healthcare,,,,
9825,2015,Ascension,Phishing,258893,Healthcare,,,,
10698,2015,Ascension,Physical Breach,352122,Retail,,,,
11301,2015,Ascension,Physical Breach,672215,Technology,,,,
11505,2015,Ascension,Insider Threat,748453,Retail,,,,
1072,2016,Ascension,Malware,207954,Healthcare,,,,
4509,2016,Ascension,Physical Breach,573205,Healthcare,,,,
5433,2016,Ascension,Malware,76458,Healthcare,,,,
8619,2016,Ascension,Insider Threat,597984,Healthcare,,,,
8664,2016,Ascension,DDoS Attack,316295,Healthcare,,,,
9877,2016,Ascension,Phishing,8446,Healthcare,,,,
10320,2016,Ascension,Ransomware,694520,Technology,,,,
12175,2016,Ascension,Password Guessing,207364,Finance,,,,
1939,2017,Ascension,Ransomware,209629,Healthcare,,,,
2264,2017,Ascension,DDoS Attack,83713,Healthcare,,,,
2397,2017,Ascension,Malware,11111,Healthcare,,,,
2693,2017,Ascension,Ransomware,692139,Healthcare,,,,
3086,2017,Ascension,Ransomware,481809,Healthcare,,,,
3309,2017,Ascension,Phishing,391337,Healthcare,,,,
6503,2017,Ascension,Ransomware,284447,Healthcare,,,,
8718,2017,Ascension,Phishing,7752,Healthcare,,,,
10185,2017,Ascension,DDoS Attack,532956,Finance,,,,
472,2018,Ascension,Password Guessing,749022,Healthcare,,,,
2497,2018,Ascension,Physical Breach,6063,Healthcare,,,,
3073,2018,Ascension,Ransomware,854877,Healthcare,,,,
4916,2018,Ascension,Malware,358564,Healthcare,,,,
5016,2018,Ascension,Physical Breach,898425,Healthcare,,,,
6095,2018,Ascension,Insider Threat,600181,Healthcare,,,,
9021,2018,Ascension,Ransomware,202652,Healthcare,,,,
11272,2018,Ascension,Insider Threat,698968,Healthcare,,,,
1252,2019,Ascension,DDoS Attack,776788,Healthcare,,,,
1709,2019,Ascension,Password Guessing,838080,Healthcare,,,,
2858,2019,Ascension,Malware,864550,Healthcare,,,,
3869,2019,Ascension,Physical Breach,927791,Healthcare,,,,
5010,2019,Ascension,Physical Breach,373810,Healthcare,,,,
6065,2019,Ascension,Insider Threat,963531,Healthcare,,,,
7502,2019,Ascension,Phishing,34423,Healthcare,,,,
9606,2019,Ascension,DDoS Attack,949204,Healthcare,,,,
11141,2019,Ascension,Phishing,668196,Retail,,,,
11164,2019,Ascension,Phishing,503101,Technology,,,,
11316,2019,Ascension,DDoS Attack,51139,Healthcare,,,,
12317,2019,Ascension,Malware,195211,Government,,,,
1876,2020,Ascension,Physical Breach,98102,Healthcare,,,,
5177,2020,Ascension,Phishing,835765,Healthcare,,,,
6041,2020,Ascension,Phishing,288199,Healthcare,,,,
6304,2020,Ascension,DDoS Attack,337892,Healthcare,,,,
11620,2020,Ascension,Insider Threat,855623,Finance,,,,
3273,2021,Ascension,Password Guessing,160649,Healthcare,,,,
4911,2021,Ascension,Password Guessing,459035,Healthcare,,,,
5292,2021,Ascension,Malware,548977,Healthcare,,,,
6517,2021,Ascension,Ransomware,483611,Healthcare,,,,
6941,2021,Ascension,DDoS Attack,298170,Healthcare,,,,
7503,2021,Ascension,DDoS Attack,896123,Healthcare,,,,
10402,2021,Ascension,Physical Breach,527026,Government,,,,
10532,2021,Ascension,Physical Breach,567061,Government,,,,
10948,2021,Ascension,Insider Threat,311243,Retail,,,,
1411,2022,Ascension,Insider Threat,303056,Healthcare,,,,
3126,2022,Ascension,DDoS Attack,127158,Healthcare,,,,
3235,2022,Ascension,Insider Threat,928077,Healthcare,,,,
5877,2022,Ascension,Physical Breach,719991,Healthcare,,,,
6187,2022,Ascension,DDoS Attack,305731,Healthcare,,,,
7167,2022,Ascension,Password Guessing,837140,Healthcare,,,,
8087,2022,Ascension,Password Guessing,292375,Healthcare,,,,
8799,2022,Ascension,Ransomware,60104,Healthcare,,,,
10204,2022,Ascension,Physical Breach,923048,Finance,,,,
389,2023,Ascension,Password Guessing,963023,Healthcare,,,,
878,2023,Ascension,Ransomware,333597,Healthcare,,,,
3455,2023,Ascension,Ransomware,930400,Healthcare,,,,
3647,2023,Ascension,Ransomware,525463,Healthcare,,,,
5040,2023,Ascension,Ransomware,256864,Healthcare,,,,
6174,2023,Ascension,Ransomware,498230,Healthcare,,,,
9082,2023,Ascension,Password Guessing,998599,Healthcare,,,,
10120,2023,Ascension,Insider Threat,740525,Healthcare,,,,
11241,2023,Ascension,DDoS Attack,725862,Technology,,,,
12168,2023,Ascension,DDoS Attack,261344,Finance,,,,
3401,2024,Ascension,Phishing,935840,Healthcare,,,,
4230,2024,Ascension,Insider Threat,144765,Healthcare,,,,
4367,2024,Ascension,DDoS Attack,552497,Healthcare,,,,
4604,2024,Ascension,Insider Threat,796706,Healthcare,,,,
4761,2024,Ascension,Malware,774326,Healthcare,,,,
5684,2024,Ascension,Ransomware,615669,Healthcare,,,,
8907,2024,Ascension,Malware,701293,Healthcare,,,,
10622,2024,Ascension,Malware,610825,Technology,,,,
10758,2024,Ascension,Insider Threat,455460,Government,,,,
10952,2024,Ascension,Password Guessing,309690,Healthcare,,,,
11190,2024,Ascension,Physical Breach,777128,Government,,,,
11764,2024,Ascension,Ransomware,660730,Finance,,,,
14,2000,Bank of America,Malware,427911,Finance,,,,
1499,2000,Bank of America,Password Guessing,497602,Finance,,,,
2707,2000,Bank of America,Insider Threat,216936,Finance,,,,
3017,2000,Bank of America,Insider Threat,861523,Finance,,,,
4238,2000,Bank of America,Password Guessing,941671,Finance,,,,
4548,2000,Bank of America,Password Guessing,905862,Finance,,,,
5107,2000,Bank of America,Insider Threat,275566,Finance,,,,
7726,2000,Bank of America,Physical Breach,342701,Finance,,,,
8039,2000,Bank of America,Ransomware,326922,Finance,,,,
10311,2000,Bank of America,Password Guessing,252010,Finance,,,,
10925,2000,Bank of America,Ransomware,505858,Retail,,,,
3201,2001,Bank of America,Physical Breach,675965,Finance,,,,
3397,2001,Bank of America,Malware,339770,Finance,,,,
3579,2001,Bank of America,Password Guessing,745127,Finance,,,,
4754,2001,Bank of America,Ransomware,767519,Finance,,,,
4932,2001,Bank of America,Phishing,62708,Finance,,,,
6610,2001,Bank of America,Phishing,152030,Finance,,,,
7731,2001,Bank of America,Phishing,464064,Finance,,,,
9609,2001,Bank of America,Physical Breach,851984,Finance,,,,
9746,2001,Bank of America,Malware,517996,Finance,,,,
603,2002,Bank of America,Password Guessing,287525,Finance,,,,
1280,2002,Bank of America,Password Guessing,583753,Finance,,,,
2031,2002,Bank of America,Insider Threat,498203,Finance,,,,
5715,2002,Bank of America,Physical Breach,535925,Finance,,,,
6414,2002,Bank of America,Ransomware,74473,Finance,,,,
8553,2002,Bank of America,Physical Breach,78014,Finance,,,,
9405,2002,Bank of America,DDoS Attack,313739,Finance,,,,
10904,2002,Bank of America,Insider Threat,230088,Finance,,,,
37,2003,Bank of America,DDoS Attack,713597,Finance,,,,
464,2003,Bank of America,Password Guessing,124794,Finance,,,,
1100,2003,Bank of America,Ransomware,894990,Finance,,,,
1544,2003,Bank of America,Insider Threat,406678,Finance,,,,
1809,2003,Bank of America,Malware,470226,Finance,,,,
3770,2003,Bank of America,Phishing,967108,Finance,,,,
4437,2003,Bank of America,Insider Threat,251826,Finance,,,,
5199,2003,Bank of America,Insider Threat,12675,Finance,,,,
5784,2003,Bank of America,Password Guessing,470169,Finance,,,,
5837,2003,Bank of America,Password Guessing,592905,Finance,,,,
8377,2003,Bank of America,Phishing,86016,Finance,,,,
9268,2003,Bank of America,Password Guessing,457310,Finance,,,,
11543,2003,Bank of America,DDoS Attack,775195,Government,,,,
147,2004,Bank of America,Phishing,653801,Finance,,,,
1374,2004,Bank of America,Password Guessing,767486,Finance,,,,
2213,2004,Bank of America,Password Guessing,534052,Finance,,,,
3050,2004,Bank of America,Insider Threat,670150,Finance,,,,
5695,2004,Bank of America,Insider Threat,919510,Finance,,,,
6046,2004,Bank of America,Phishing,268725,Finance,,,,
6273,2004,Bank of America,Insider Threat,899827,Finance,,,,
12245,2004,Bank of America,DDoS Attack,930848,Finance,,,,
125,2005,Bank of America,Phishing,585413,Finance,,,,
1412,2005,Bank of America,Phishing,84422,Finance,,,,
3905,2005,Bank of America,Insider Threat,594038,Finance,,,,
3936,2005,Bank of America,Insider Threat,491040,Finance,,,,
4658,2005,Bank of America,Physical Breach,219804,Finance,,,,
5480,2005,Bank of America,Phishing,165850,Finance,,,,
6789,2005,Bank of America,Physical Breach,409109,Finance,,,,
6964,2005,Bank of America,Malware,780809,Finance,,,,
11814,2005,Bank of America,DDoS Attack,157334,Technology,,,,
12040,2005,Bank of America,Insider Threat,300998,Finance,,,,
111,2006,Bank of America,Malware,214701,Finance,,,,
272,2006,Bank of America,Insider Threat,878646,Finance,,,,
744,2006,Bank of America,Insider Threat,92468,Finance,,,,
6588,2006,Bank of America,Password Guessing,902384,Finance,,,,
8468,2006,Bank of America,Phishing,32002,Finance,,,,
9857,2006,Bank of America,DDoS Attack,46682,Finance,,,,
10273,2006,Bank of America,Phishing,726599,Finance,,,,
10301,2006,Bank of America,Password Guessing,582320,Healthcare,,,,
10670,2006,Bank of America,Insider Threat,736317,Government,,,,
12035,2006,Bank of America,Phishing,380854,Finance,,,,
2450,2007,Bank of America,Malware,425361,Finance,,,,
5197,2007,Bank of America,Phishing,235438,Finance,,,,
5240,2007,Bank of America,Physical Breach,248418,Finance,,,,
5787,2007,Bank of America,DDoS Attack,604254,Finance,,,,
9588,2007,Bank of America,Physical Breach,270638,Finance,,,,
9619,2007,Bank of America,Insider Threat,804756,Finance,,,,
10653,2007,Bank of America,Insider Threat,482756,Retail,,,,
11921,2007,Bank of America,Ransomware,4960,Retail,,,,
1761,2008,Bank of America,Ransomware,439586,Finance,,,,
2653,2008,Bank of America,Physical Breach,350745,Finance,,,,
3744,2008,Bank of America,Physical Breach,878020,Finance,,,,
4865,2008,Bank of America,Insider Threat,774632,Finance,,,,
4893,2008,Bank of America,Physical Breach,187040,Finance,,,,
5728,2008,Bank of America,Insider Threat,579733,Finance,,,,
6867,2008,Bank of America,Insider Threat,881561,Finance,,,,
7601,2008,Bank of America,Physical Breach,20327,Finance,,,,
7674,2008,Bank of America,Ransomware,731432,Finance,,,,
8365,2008,Bank of America,Insider Threat,417906,Finance,,,,
9066,2008,Bank of America,Malware,974920,Finance,,,,
9701,2008,Bank of America,Password Guessing,603785,Finance,,,,
10177,2008,Bank of America,Malware,591031,Retail,,,,
10202,2008,Bank of America,Physical Breach,355983,Government,,,,
10386,2008,Bank of America,DDoS Attack,852461,Retail,,,,
10426,2008,Bank of America,Password Guessing,208578,Government,,,,
11320,2008,Bank of America,Physical Breach,829908,Government,,,,
11577,2008,Bank of America,Physical Breach,992132,Government,,,,
2374,2009,Bank of America,Ransomware,138915,Finance,,,,
3064,2009,Bank of America,Password Guessing,735222,Finance,,,,
4485,2009,Bank of America,Physical Breach,247621,Finance,,,,
6074,2009,Bank of America,Insider Threat,631011,Finance,,,,
7037,2009,Bank of America,Malware,216441,Finance,,,,
7324,2009,Bank of America,Malware,629833,Finance,,,,
9038,2009,Bank of America,Malware,278641,Finance,,,,
10341,2009,Bank of America,Physical Breach,70495,Finance,,,,
10895,2009,Bank of America,Phishing,590127,Healthcare,,,,
3457,2010,Bank of America,Phishing,438231,Finance,,,,
3860,2010,Bank of America,Insider Threat,629709,Finance,,,,
5995,2010,Bank of America,Phishing,563794,Finance,,,,
6200,2010,Bank of America,Password Guessing,490279,Finance,,,,
9530,2010,Bank of America,Password Guessing,142774,Finance,,,,
11643,2010,Bank of America,DDoS Attack,775778,Finance,,,,
12098,2010,Bank of America,DDoS Attack,45669,Healthcare,,,,
1029,2011,Bank of America,Malware,125309,Finance,,,,
1093,2011,Bank of America,Password Guessing,12190,Finance,,,,
1192,2011,Bank of America,DDoS Attack,972067,Finance,,,,
2241,2011,Bank of America,Password Guessing,36415,Finance,,,,
7101,2011,Bank of America,DDoS Attack,234785,Finance,,,,
8198,2011,Bank of America,Malware,805843,Finance,,,,
8997,2011,Bank of America,DDoS Attack,341977,Finance,,,,
11566,2011,Bank of America,Physical Breach,232359,Finance,,,,
599,2012,Bank of America,Password Guessing,419740,Finance,,,,
1067,2012,Bank of America,Physical Breach,759154,Finance,,,,
4560,2012,Bank of America,Insider Threat,739563,Finance,,,,
4695,2012,Bank of America,Insider Threat,673248,Finance,,,,
5621,2012,Bank of America,Phishing,366620,Finance,,,,
9470,2012,Bank of America,Phishing,894744,Finance,,,,
10614,2012,Bank of America,Physical Breach,525432,Finance,,,,
2550,2013,Bank of America,DDoS Attack,786608,Finance,,,,
4060,2013,Bank of America,Malware,192475,Finance,,,,
4250,2013,Bank of America,DDoS Attack,737385,Finance,,,,
4303,2013,Bank of America,Malware,708397,Finance,,,,
4888,2013,Bank of America,DDoS Attack,515975,Finance,,,,
8635,2013,Bank of America,Password Guessing,261761,Finance,,,,
10889,2013,Bank of America,Physical Breach,175429,Finance,,,,
11517,2013,Bank of America,Insider Threat,890507,Healthcare,,,,
12046,2013,Bank of America,DDoS Attack,537687,Healthcare,,,,
2854,2014,Bank of America,Ransomware,624915,Finance,,,,
4890,2014,Bank of America,Ransomware,225822,Finance,,,,
4894,2014,Bank of America,Malware,273708,Finance,,,,
8322,2014,Bank of America,Password Guessing,494320,Finance,,,,
8514,2014,Bank of America,Physical Breach,724476,Finance,,,,
8588,2014,Bank of America,Insider Threat,756553,Finance,,,,
8825,2014,Bank of America,Insider Threat,554911,Finance,,,,
9644,2014,Bank of America,Malware,328616,Finance,,,,
10472,2014,Bank of America,DDoS Attack,433699,Retail,,,,
10814,2014,Bank of America,Malware,714384,Healthcare,,,,
11333,2014,Bank of America,Phishing,517849,Technology,,,,
12305,2014,Bank of America,Phishing,245857,Retail,,,,
249,2015,Bank of America,Malware,736363,Finance,,,,
3690,2015,Bank of America,DDoS Attack,617309,Finance,,,,
3966,2015,Bank of America,Physical Breach,765248,Finance,,,,
4083,2015,Bank of America,Password Guessing,132814,Finance,,,,
4444,2015,Bank of America,Insider Threat,608175,Finance,,,,
5350,2015,Bank of America,Insider Threat,802014,Finance,,,,
8076,2015,Bank of America,Malware,774513,Finance,,,,
92,2016,Bank of America,Ransomware,7887,Finance,,,,
1467,2016,Bank of America,Ransomware,13960,Finance,,,,
4176,2016,Bank of America,Phishing,692201,Finance,,,,
5849,2016,Bank of America,Physical Breach,23032,Finance,,,,
5965,2016,Bank of America,Physical Breach,8304,Finance,,,,
7240,2016,Bank of America,Physical Breach,332619,Finance,,,,
8817,2016,Bank of America,DDoS Attack,552038,Finance,,,,
10372,2016,Bank of America,Insider Threat,590436,Finance,,,,
10411,2016,Bank of America,Ransomware,358610,Retail,,,,
10586,2016,Bank of America,Password Guessing,191031,Technology,,,,
11573,2016,Bank of America,Phishing,889632,Finance,,,,
1434,2017,Bank of America,Physical Breach,833378,Finance,,,,
1629,2017,Bank of America,Physical Breach,793486,Finance,,,,
2421,2017,Bank of America,DDoS Attack,757979,Finance,,,,
4140,2017,Bank of America,Ransomware,150500,Finance,,,,
5048,2017,Bank of America,Password Guessing,470403,Finance,,,,
6691,2017,Bank of America,Password Guessing,66429,Finance,,,,
11234,2017,Bank of America,Phishing,303750,Healthcare,,,,
11559,2017,Bank of America,Malware,185560,Healthcare,,,,
11733,2017,Bank of America,Malware,957277,Technology,,,,
12015,2017,Bank of America,Malware,152176,Retail,,,,
3592,2018,Bank of America,Phishing,977991,Finance,,,,
3670,2018,Bank of America,Phishing,665938,Finance,,,,
5022,2018,Bank of America,Phishing,162726,Finance,,,,
6534,2018,Bank of America,Phishing,32832,Finance,,,,
8242,2018,Bank of America,Phishing,60638,Finance,,,,
8784,2018,Bank of America,Password Guessing,310460,Finance,,,,
1278,2019,Bank of America,DDoS Attack,213018,Finance,,,,
